路線,路線名稱,方向,站序,中文站點名稱,英文站點名稱,經度,緯度
綠2,太原車站 - 捷運文心森林公園站,去程,30,文心河南路口,Wenxin-Henan Intersection,120.6618912,24.1719759
綠2,太原車站 - 捷運文心森林公園站,去程,31,捷運文華高中站(文心路),MRT Wenhua Senior High School Station(Wenxin Road),120.658564,24.170949
綠2,太原車站 - 捷運文心森林公園站,去程,32,文心甘肅路口,Wenxin-Gansu Intersection,120.655635,24.16929047
綠2,太原車站 - 捷運文心森林公園站,去程,33,捷運文心櫻花站(文心路),MRT Wenxin Yinghua Station(Wenxin Road),120.6532874,24.16739129
綠2,太原車站 - 捷運文心森林公園站,去程,34,文心青海路口,Wenxin-Qinghai Intersection,120.6516127,24.16573808
綠2,太原車站 - 捷運文心森林公園站,去程,35,文心四川路口,Wenxin-Sichuan Intersection,120.6504367,24.16412333
綠2,太原車站 - 捷運文心森林公園站,去程,36,捷運市政府站(文心路),MRT Taichung City Hall Station(Wenxin Road),120.6486518,24.16157302
綠2,太原車站 - 捷運文心森林公園站,去程,37,文心第二市政大樓,Wenxin Second Municipal Building,120.647536,24.159703
綠2,太原車站 - 捷運文心森林公園站,去程,38,中央健保署(文心路),NHI Administration(Wenxin Road),120.646708,24.156816
綠2,太原車站 - 捷運文心森林公園站,去程,39,文心市政路口,Wenxin-Shizheng Intersection,120.6465865,24.15437255
綠2,太原車站 - 捷運文心森林公園站,去程,40,捷運水安宮站(文心路),MRT Shui-An Temple Station(Wenxin Road),120.6466555,24.15266926
綠2,太原車站 - 捷運文心森林公園站,去程,41,文心公益路口,Wenxin-Gongyi Intersection,120.6465778,24.15020353
綠2,太原車站 - 捷運文心森林公園站,去程,42,捷運文心森林公園站(文心路),MRT Wenxin Forest Park Station(Wenxin Road),120.646561,24.145244
綠2,太原車站 - 捷運文心森林公園站,回程,1,捷運文心森林公園站(文心路),MRT Wenxin Forest Park Station(Wenxin Road),120.646561,24.145244
綠2,太原車站 - 捷運文心森林公園站,回程,2,向上惠文路口,Xiangshang-Huiwen Intersection,120.644219,24.146798
綠2,太原車站 - 捷運文心森林公園站,回程,3,文心公益路口,Wenxin-Gongyi Intersection,120.646884,24.14974
綠2,太原車站 - 捷運文心森林公園站,回程,4,捷運水安宮站(文心路),MRT Shui-An Temple Station(Wenxin Road),120.6469327,24.15271174
綠2,太原車站 - 捷運文心森林公園站,回程,5,文心市政路口,Wenxin-Shizheng Intersection,120.6469582,24.15460754
綠2,太原車站 - 捷運文心森林公園站,回程,6,中央健保署(文心路),NHI Administration(Wenxin Road),120.6468936,24.15752403
